ds,yhat,yhat_lower,yhat_upper,category
2015-01-01,65.43085713124535,34.600242381136944,96.5110987191148,Cleats
2015-01-02,66.89849792728606,35.620117670937134,98.14700122798311,Cleats
2015-01-03,66.23730536991275,35.84159064980137,97.02459104363275,Cleats
2015-01-04,66.57844057825012,36.1047846237495,96.97677309394612,Cleats
2015-01-05,68.24043460282218,37.77825634513299,99.61030546618653,Cleats
2015-01-06,65.7060411682421,35.67489242650605,98.7333466697506,Cleats
2015-01-07,68.55118403508952,35.53622854686455,100.19140177736818,Cleats
2015-01-08,68.27494097270483,35.99947497111044,99.88673829879649,Cleats
2015-01-09,70.10984719867312,36.93718006084707,102.25416591914977,Cleats
2015-01-10,69.7458800904823,39.48270626636219,101.64238130651717,Cleats
2015-01-11,70.30748760653798,37.535333682268835,99.53656903637331,Cleats
2015-01-12,72.10817976260269,42.25086969090687,103.52262664684167,Cleats
2015-01-13,69.62750620819791,40.32588852196496,100.6528729947897,Cleats
2015-01-14,72.44008691329171,40.88724654739834,102.72473068019622,Cleats
2015-01-15,72.04563581931552,39.792824722760194,105.26147117167541,Cleats
2015-01-16,73.67925920250572,41.42575821070775,107.08445836624014,Cleats
2015-01-17,73.03539050665759,45.157961134891195,103.25111526578249,Cleats
2015-01-18,73.24472509589185,42.03697678007394,103.98563516161451,Cleats
2015-01-19,74.62867632698251,42.232924559298375,107.68643521861115,Cleats
2015-01-20,71.67617903096065,40.60331922801031,102.65245150821579,Cleats
2015-01-21,73.97251137953815,42.90069125730257,104.40877685114431,Cleats
2015-01-22,73.0290797822923,38.87790026621705,106.67944054718234,Cleats
2015-01-23,74.09345406663232,42.75320914187297,105.89711416205891,Cleats
2015-01-24,72.87302078324453,39.67626391818586,104.48784067369915,Cleats
2015-01-25,72.5116246098011,40.882324097131985,103.34736559857024,Cleats
2015-01-26,73.34372605589594,42.22594974727102,103.89449962787113,Cleats
2015-01-27,69.87090848169181,39.72266343043261,100.74766902473085,Cleats
2015-01-28,71.69041228384663,41.402314446456835,104.51880441272891,Cleats
2015-01-29,70.32464756371935,38.632890768905796,100.29966115269002,Cleats
2015-01-30,71.03097883341749,39.90166667525491,101.09303387412443,Cleats
2015-01-31,69.52515539040405,34.392742083123345,100.37180575541463,Cleats
2015-02-01,68.9577624707136,35.65300836989606,98.07752675502205,Cleats
2015-02-02,69.66822574925678,37.794347027204495,102.19671942420959,Cleats
2015-02-03,66.16120570085637,32.173766505561375,100.13962240460327,Cleats
2015-02-04,68.03506217583526,37.90051737784771,100.41752381000532,Cleats
2015-02-05,66.81134211359979,37.41477904697372,97.27684432524752,Cleats
2015-02-06,67.7445843573271,36.1245775057603,98.44490019063028,Cleats
2015-02-07,66.54581467487635,36.416231280718655,101.02363072670357,Cleats
2015-02-08,66.35910448870852,34.81096482332079,99.0492854438987,Cleats
2015-02-09,67.51572329193739,35.46059807040487,100.13858781294994,Cleats
2015-02-10,64.51071773633264,33.9758663220783,96.78683340846393,Cleats
2015-02-11,66.93159342595924,36.674204113152406,99.2348226527002,Cleats
2015-02-12,66.28804716630016,33.05173590044314,99.07377414012468,Cleats
2015-02-13,67.82203800489589,35.83143331713592,99.91216354435751,Cleats
2015-02-14,67.23156394892511,36.77020629220979,99.12029023259133,Cleats
2015-02-15,67.64751136349095,34.59120994981356,98.96408652763365,Cleats
2015-02-16,69.38810034765424,38.659222477233335,100.16588443436322,Cleats
2015-02-17,66.93575237939227,34.815752667771,97.28339604094613,Cleats
2015-02-18,69.86604970921624,37.39481559900643,100.98895986539205,Cleats
2015-02-19,69.67772799285277,40.433509466289856,104.5557549418493,Cleats
2015-02-20,71.6029846769461,40.80469430355777,100.69933660112466,Cleats
2015-02-21,71.3314647727583,38.9579668847185,106.05519670665764,Cleats
2015-02-22,71.98728645976381,41.32691974574421,103.32477168550194,Cleats
2015-02-23,73.88362604534936,40.33929704954967,104.1759325193495,Cleats
2015-02-24,71.49968567316795,39.677944888195,102.82907997123,Cleats
2015-02-25,74.40971129364881,42.34467963209861,105.7078259457304,Cleats
2015-02-26,74.11300139222433,42.22078456204662,107.41467705618793,Cleats
2015-02-27,75.84418897946584,45.55858839671424,106.7795371159499,Cleats
2015-02-28,75.2971594456674,44.60647953303762,107.63801530421146,Cleats
2015-03-01,75.60196863503933,44.884669050412406,105.54821385163729,Cleats
2015-03-02,77.07928347128296,45.073530680075095,107.94694266647008,Cleats
2015-03-03,74.21717215080314,41.080355669968796,104.05391985757005,Cleats
2015-03-04,76.59991576779545,44.90885871294128,105.8724865846503,Cleats
2015-03-05,75.73778683407893,43.90170616093316,109.07531003153163,Cleats
2015-03-06,76.87708266222573,41.877370135178815,110.35185027770336,Cleats
2015-03-07,75.72378204102287,44.21401599163049,105.99971633540135,Cleats
2015-03-08,75.42019561516474,42.92975726288806,106.57171472881572,Cleats
2015-03-09,76.29913842600183,47.58149621334412,108.70777411392206,Cleats
2015-03-10,72.86045771050631,40.56425294378084,102.75988751414714,Cleats
2015-03-11,74.69959368835546,42.28250533375691,104.67964800221276,Cleats
2015-03-12,73.33712433579328,42.232109744955565,106.14060837139205,Cleats
2015-03-13,74.02858718916508,43.42203402224079,107.5466381974771,Cleats
2015-03-14,72.48795111063008,39.72075986258587,102.08671447524601,Cleats
2015-03-15,71.86411225651891,40.38606536757084,103.07675608201724,Cleats
2015-03-16,72.49494579722855,40.50127449888436,106.13385243212227,Cleats
2015-03-17,68.8837487484277,35.95838248566619,101.41168430905356,Cleats
2015-03-18,70.6277530654679,38.19240468460468,102.21156850774624,Cleats
2015-03-19,69.24766054107504,35.16947067285181,98.2120455178205,Cleats
2015-03-20,69.99749221475577,40.10615280637932,101.12617923164736,Cleats
2015-03-21,68.58812403567876,37.64164772369227,102.99711670320613,Cleats
2015-03-22,68.16388101122081,35.81233382103715,100.55978802917603,Cleats
2015-03-23,69.05671862201869,39.76704031371137,101.71413172283994,Cleats
2015-03-24,65.76282341098573,33.70329283379743,96.8287995601693,Cleats
2015-03-25,67.87130785059306,36.677458858081,97.89871398197006,Cleats
2015-03-26,66.89394648815905,35.30843047441744,99.70234701937689,Cleats
2015-03-27,68.07524115735637,37.776285233112624,98.65245233944533,Cleats
2015-03-28,67.11618181626699,37.07731406136617,98.28054354034228,Cleats
